Prayer	Nusach (1 = Both, 2 = Ari, 3 = Ashk)	display_name	Price
Modeh Ani	1	0	1800
Asher Yatzar	1	1	1800
Elokai	1	0	1800
Hanoten lashechvi vina	1	0	360
Pokeach ivrim	1	0	360
Matir asurim	1	0	360
Zokeif keffufim	1	0	360
Malbish arumim	1	0	360
Hanoten layaef koach	1	0	360
Roka haaretz	1	0	360
hameichin	1	0	360
Sheasa li	1	0	360
Ozer ….bigvura	1	0	360
Ozer …. besifara	1	0	360
Shelo asani goy	1	0	360
Shelo asani aved	1	0	360
Sh’ kirstono	3	0	360
Ha’mavir sheino 	1	0	
Vihi Ratzon	1	1	
Yehi Ratzon	1	1	720
Brachot on Torah	1	1	540
Vayadaber	2	1	360
Yevarechecha	1	0	360
Eilu Devarim	1	1	1800
Hareini Mekabel	1	1	360
Ma Tovu	1	1	720
Adon Olam	1	1	3600
Hodu	1	0	
Baruch She’amar	1	1	3600
Mizmor	1	0	360
Yehi Chevod	1	0	540
Ashrei	1	0	3600
#1 Halleluka Halleli	1	0	1800
#2 Halleluka Ki Tov	1	0	1800
#3 Halleluka Hallelu	1	0	1800
#4 Halleluka Shiru	1	0	1800
#5 Halleluka Hallelu	1	0	1800
Baruch	1	0	360
Vecharot	1	0	720
Vayosha	1	0	180
Az Yashir	1	0	1800
Yishtabach	1	1	3600
Brocha	1	0	360
Hameir	1	1	1800
Tisbarech	1	1	720
Et sheim	1	1	720
Kadosh Kadosh Kadosh	1	0	360
Lakel Baruch	1	1	720
Ahavat Olam Ahava Raba	1	1	1800
Keil Melech Neeman	3	1	180
Shema	1	0	5400
Vehaya	1	0	1800
Vayomer	1	0	720
Emet Veyatziv	1	0	720
Al harishonim	1	1	360
Ezrat	1	1	720
Tehilla Lakel elyon	1	1	360
Shira Chadasha	1	1	360
Tsur Yisrael	1	1	360
Amidah	1	1	18000
Tachanun	1	0	
Song of the day - Sunday	1	0	540
Song of the day - Monday	1	0	540
Song of the day - Tuesday	1	0	540
Song of the day - Wednesday	1	0	540
Song of the day - Thursday	1	0	540
Song of the day - Friday	1	0	540
Song of the day - Shabbat	1	0	540
Kave kel Hashem	1	0	180
Ein Kelokenu	1	0	720
Aleinu	1	1	720
Ve’al Ken	1	1	540
Al Tira	1	0	360
Ach Tzaddikim	1	0	180
Lamnatzeach	1	0	540
